,location,event_type,band,date,path,geometry
0,Almonaster,pre,B09,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B09.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
1,Almonaster,pre,B11,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B11.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
2,Almonaster,pre,B07,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B07.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
3,Almonaster,pre,B08,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B08.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
4,Almonaster,pre,B05,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B05.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
5,Almonaster,pre,B03,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B03.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
6,Almonaster,pre,B01,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B01.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
7,Almonaster,pre,B04,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B04.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
8,Almonaster,pre,B02,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B02.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
9,Almonaster,pre,B12,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B12.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
10,Almonaster,pre,B10,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B10.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
11,Almonaster,pre,B06,2022-07-12,/workspace/Rufai/data/S2-WCD/Almonaster/img1_cropped/T30TWL_20220712T105631_B06.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
12,Almonaster,post,B03,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B03.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
13,Almonaster,post,B04,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B04.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
14,Almonaster,post,B11,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B11.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
15,Almonaster,post,B06,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B06.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
16,Almonaster,post,B02,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B02.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
17,Almonaster,post,B05,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B05.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
18,Almonaster,post,B01,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B01.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
19,Almonaster,post,B07,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B07.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
20,Almonaster,post,B12,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B12.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
21,Almonaster,post,B10,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B10.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
22,Almonaster,post,B08,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B08.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
23,Almonaster,post,B09,2022-07-27,/workspace/Rufai/data/S2-WCD/Almonaster/img2_cropped/T30TWL_20220727T105629_B09.tif,"POLYGON ((-1.834501904740688 41.37056606450764, -1.832784130050235 41.46656695385144, -1.9604175907407875 41.4677913683968, -1.9619476164444893 41.37178637782772, -1.834501904740688 41.37056606450764))"
