original_chip_id,dates,lc,x_center,y_center,epsg,chip_id
113528,"['20230304', '20230627', '20230930', '20231219']",5,449990.0,4391170.0,32630,0
113525,"['20230304', '20230627', '20230930', '20231219']",5,498990.0,4393170.0,32630,1
113511,"['20230304', '20230627', '20230930', '20231219']",5,447990.0,4398170.0,32630,2
113504,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4401170.0,32630,3
113502,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4401170.0,32630,4
113498,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4402170.0,32630,5
113496,"['20230304', '20230627', '20230930', '20231219']",5,473990.0,4402170.0,32630,6
113489,"['20230304', '20230627', '20230930', '20231219']",5,482990.0,4403170.0,32630,7
113487,"['20230304', '20230627', '20230930', '20231219']",5,454990.0,4403170.0,32630,8
113482,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4404170.0,32630,9
113475,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4405170.0,32630,10
113467,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4406170.0,32630,11
113465,"['20230304', '20230627', '20230930', '20231219']",11,445990.0,4406170.0,32630,12
113461,"['20230304', '20230627', '20230930', '20231219']",5,496990.0,4407170.0,32630,13
113459,"['20230304', '20230627', '20230930', '20231219']",5,449990.0,4407170.0,32630,14
113457,"['20230304', '20230627', '20230930', '20231219']",5,449990.0,4408170.0,32630,15
113447,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4409170.0,32630,16
113439,"['20230304', '20230627', '20230930', '20231219']",5,496990.0,4411170.0,32630,17
113429,"['20230304', '20230627', '20230930', '20231219']",5,462990.0,4413170.0,32630,18
113425,"['20230304', '20230627', '20230930', '20231219']",5,467990.0,4415170.0,32630,19
113422,"['20230304', '20230627', '20230930', '20231219']",5,467990.0,4416170.0,32630,20
113412,"['20230304', '20230627', '20230930', '20231219']",5,453990.0,4417170.0,32630,21
113406,"['20230304', '20230627', '20230930', '20231219']",5,462990.0,4418170.0,32630,22
113403,"['20230304', '20230627', '20230930', '20231219']",5,487990.0,4419170.0,32630,23
113401,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4419170.0,32630,24
113397,"['20230304', '20230627', '20230930', '20231219']",5,453990.0,4419170.0,32630,25
113396,"['20230304', '20230627', '20230930', '20231219']",5,449990.0,4419170.0,32630,26
113391,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4420170.0,32630,27
113382,"['20230304', '20230627', '20230930', '20231219']",5,482990.0,4421170.0,32630,28
113381,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4421170.0,32630,29
113380,"['20230304', '20230627', '20230930', '20231219']",5,479990.0,4421170.0,32630,30
113375,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4422170.0,32630,31
113374,"['20230304', '20230627', '20230930', '20231219']",5,487990.0,4422170.0,32630,32
113370,"['20230304', '20230627', '20230930', '20231219']",5,479990.0,4422170.0,32630,33
113367,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4423170.0,32630,34
113366,"['20230304', '20230627', '20230930', '20231219']",5,487990.0,4423170.0,32630,35
113362,"['20230304', '20230627', '20230930', '20231219']",5,488990.0,4424170.0,32630,36
113360,"['20230304', '20230627', '20230930', '20231219']",5,486990.0,4424170.0,32630,37
113355,"['20230304', '20230627', '20230930', '20231219']",5,479990.0,4430170.0,32630,38
113349,"['20230304', '20230627', '20230930', '20231219']",11,440990.0,4435170.0,32630,39
113345,"['20230304', '20230627', '20230930', '20231219']",5,465990.0,4442170.0,32630,40
113331,"['20230304', '20230627', '20230930', '20231219']",7,434990.0,4454170.0,32630,41
113327,"['20230304', '20230627', '20230930', '20231219']",5,473990.0,4465170.0,32630,42
113322,"['20230304', '20230627', '20230930', '20231219']",7,434990.0,4470170.0,32630,43
113319,"['20230304', '20230627', '20230930', '20231219']",5,479990.0,4473170.0,32630,44
113316,"['20230304', '20230627', '20230930', '20231219']",5,479990.0,4474170.0,32630,45
113315,"['20230304', '20230627', '20230930', '20231219']",5,465990.0,4474170.0,32630,46
113312,"['20230304', '20230627', '20230930', '20231219']",5,465990.0,4476170.0,32630,47
113310,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4477170.0,32630,48
113308,"['20230304', '20230627', '20230930', '20231219']",5,482990.0,4478170.0,32630,49
113307,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4478170.0,32630,50
113305,"['20230304', '20230627', '20230930', '20231219']",7,414990.0,4478170.0,32630,51
113302,"['20230304', '20230627', '20230930', '20231219']",5,473990.0,4479170.0,32630,52
113301,"['20230304', '20230627', '20230930', '20231219']",7,433990.0,4479170.0,32630,53
113299,"['20230304', '20230627', '20230930', '20231219']",5,481990.0,4482170.0,32630,54
113298,"['20230304', '20230627', '20230930', '20231219']",5,462990.0,4485170.0,32630,55
113297,"['20230304', '20230627', '20230930', '20231219']",5,462990.0,4486170.0,32630,56
113295,"['20230304', '20230627', '20230930', '20231219']",5,462990.0,4489170.0,32630,57
113292,"['20230304', '20230627', '20230930', '20231219']",5,465990.0,4490170.0,32630,58
113284,"['20230304', '20230627', '20230930', '20231219']",2,426990.0,4491170.0,32630,59
113282,"['20230304', '20230627', '20230930', '20231219']",5,462990.0,4492170.0,32630,60
113280,"['20230304', '20230627', '20230930', '20231219']",5,473990.0,4494170.0,32630,61
113278,"['20230304', '20230627', '20230930', '20231219']",5,473990.0,4495170.0,32630,62
113276,"['20230304', '20230627', '20230930', '20231219']",5,473990.0,4496170.0,32630,63
113272,"['20230304', '20230627', '20230930', '20231219']",5,462990.0,4498170.0,32630,64
113270,"['20230304', '20230627', '20230930', '20231219']",7,414990.0,4498170.0,32630,65
113267,"['20230116', '20230421', '20230908', '20231222']",5,355930.0,5818880.0,32633,66
113264,"['20230116', '20230421', '20230908', '20231222']",5,348930.0,5821880.0,32633,67
113263,"['20230116', '20230421', '20230908', '20231222']",2,337930.0,5822880.0,32633,68
113262,"['20230116', '20230421', '20230908', '20231222']",5,350930.0,5824880.0,32633,69
113260,"['20230116', '20230421', '20230908', '20231222']",5,348930.0,5844880.0,32633,70
113259,"['20230116', '20230421', '20230908', '20231222']",5,348930.0,5845880.0,32633,71
113258,"['20230116', '20230421', '20230908', '20231222']",5,355930.0,5860880.0,32633,72
113257,"['20230116', '20230421', '20230908', '20231222']",5,355930.0,5861880.0,32633,73
113255,"['20230116', '20230421', '20230908', '20231222']",5,348930.0,5867880.0,32633,74
113254,"['20230116', '20230421', '20230908', '20231222']",5,319930.0,5871880.0,32633,75
113253,"['20230116', '20230421', '20230908', '20231222']",5,320930.0,5872880.0,32633,76
113252,"['20230116', '20230421', '20230908', '20231222']",5,355930.0,5873880.0,32633,77
113249,"['20230116', '20230421', '20230908', '20231222']",5,328930.0,5884880.0,32633,78
113248,"['20230116', '20230421', '20230908', '20231222']",2,332930.0,5885880.0,32633,79
113247,"['20230116', '20230421', '20230908', '20231222']",5,348930.0,5890880.0,32633,80
113246,"['20230116', '20230421', '20230908', '20231222']",2,358930.0,5891880.0,32633,81
113244,"['20230116', '20230421', '20230908', '20231222']",5,319930.0,5894880.0,32633,82
113243,"['20230116', '20230421', '20230908', '20231222']",5,320930.0,5895880.0,32633,83
113236,"['20230308', '20230414', '20230718', '20231029']",11,432800.0,7093160.0,32627,84
113234,"['20230308', '20230414', '20230718', '20231029']",11,429800.0,7094160.0,32627,85
113233,"['20230308', '20230414', '20230718', '20231029']",11,416800.0,7094160.0,32627,86
113230,"['20230308', '20230414', '20230718', '20231029']",11,445800.0,7095160.0,32627,87
113228,"['20230308', '20230414', '20230718', '20231029']",11,415800.0,7095160.0,32627,88
113196,"['20230308', '20230414', '20230718', '20231029']",11,470800.0,7114160.0,32627,89
113188,"['20230308', '20230414', '20230718', '20231029']",11,481800.0,7118160.0,32627,90
113173,"['20230308', '20230414', '20230718', '20231029']",11,476800.0,7134160.0,32627,91
113167,"['20230308', '20230414', '20230718', '20231029']",11,471800.0,7136160.0,32627,92
113165,"['20230308', '20230414', '20230718', '20231029']",11,459800.0,7136160.0,32627,93
113163,"['20230308', '20230414', '20230718', '20231029']",11,452800.0,7136160.0,32627,94
113133,"['20230308', '20230414', '20230718', '20231029']",11,484800.0,7152160.0,32627,95
113128,"['20230308', '20230414', '20230718', '20231029']",11,488800.0,7158160.0,32627,96
113113,"['20230308', '20230414', '20230718', '20231029']",11,481800.0,7165160.0,32627,97
113087,"['20230308', '20230414', '20230718', '20231029']",11,501800.0,7178160.0,32627,98
113081,"['20230308', '20230414', '20230718', '20231029']",11,497800.0,7179160.0,32627,99
113060,"['20230308', '20230414', '20230718', '20231029']",11,422800.0,7193160.0,32627,100
113053,"['20230106', '20230521', '20230705', '20231222']",1,307620.0,6034090.0,32654,101
113051,"['20230106', '20230521', '20230705', '20231222']",1,307620.0,6035090.0,32654,102
113047,"['20230106', '20230521', '20230705', '20231222']",1,305620.0,6036090.0,32654,103
113045,"['20230106', '20230521', '20230705', '20231222']",1,307620.0,6037090.0,32654,104
113040,"['20230106', '20230521', '20230705', '20231222']",1,307620.0,6041090.0,32654,105
113026,"['20230106', '20230521', '20230705', '20231222']",1,305620.0,6046090.0,32654,106
113022,"['20230106', '20230521', '20230705', '20231222']",1,304620.0,6048090.0,32654,107
113021,"['20230106', '20230521', '20230705', '20231222']",1,305620.0,6049090.0,32654,108
113018,"['20230106', '20230521', '20230705', '20231222']",1,306620.0,6054090.0,32654,109
113016,"['20230106', '20230521', '20230705', '20231222']",1,319620.0,6055090.0,32654,110
113015,"['20230106', '20230521', '20230705', '20231222']",1,318620.0,6055090.0,32654,111
113009,"['20230106', '20230521', '20230705', '20231222']",1,305620.0,6056090.0,32654,112
113002,"['20230106', '20230521', '20230705', '20231222']",1,323620.0,6058090.0,32654,113
113001,"['20230106', '20230521', '20230705', '20231222']",1,319620.0,6058090.0,32654,114
112990,"['20230106', '20230521', '20230705', '20231222']",1,322620.0,6060090.0,32654,115
112981,"['20230106', '20230521', '20230705', '20231222']",1,325620.0,6067090.0,32654,116
112980,"['20230106', '20230521', '20230705', '20231222']",1,324620.0,6067090.0,32654,117
112973,"['20230106', '20230521', '20230705', '20231222']",1,322620.0,6071090.0,32654,118
112970,"['20230106', '20230521', '20230705', '20231222']",1,326620.0,6072090.0,32654,119
112967,"['20230106', '20230521', '20230705', '20231222']",1,323620.0,6072090.0,32654,120
112959,"['20230106', '20230521', '20230705', '20231222']",1,319620.0,6075090.0,32654,121
112953,"['20230106', '20230521', '20230705', '20231222']",1,323620.0,6077090.0,32654,122
112951,"['20230106', '20230521', '20230705', '20231222']",1,319620.0,6077090.0,32654,123
112948,"['20230106', '20230521', '20230705', '20231222']",1,324620.0,6078090.0,32654,124
112947,"['20230106', '20230521', '20230705', '20231222']",1,323620.0,6078090.0,32654,125
112946,"['20230106', '20230521', '20230705', '20231222']",1,321620.0,6078090.0,32654,126
112943,"['20230106', '20230521', '20230705', '20231222']",1,325620.0,6079090.0,32654,127
112933,"['20230106', '20230521', '20230705', '20231222']",1,324620.0,6088090.0,32654,128
112927,"['20230106', '20230521', '20230705', '20231222']",1,319620.0,6089090.0,32654,129
112921,"['20230108', '20230513', '20230722', '20231119']",2,431010.0,5991630.0,32652,130
112920,"['20230108', '20230513', '20230722', '20231119']",2,419010.0,5991630.0,32652,131
112919,"['20230108', '20230513', '20230722', '20231119']",2,407010.0,5991630.0,32652,132
112918,"['20230108', '20230513', '20230722', '20231119']",2,432010.0,5992630.0,32652,133
112917,"['20230108', '20230513', '20230722', '20231119']",2,419010.0,5992630.0,32652,134
112916,"['20230108', '20230513', '20230722', '20231119']",2,432010.0,5993630.0,32652,135
112915,"['20230108', '20230513', '20230722', '20231119']",2,430010.0,5994630.0,32652,136
112914,"['20230108', '20230513', '20230722', '20231119']",2,422010.0,5996630.0,32652,137
112913,"['20230108', '20230513', '20230722', '20231119']",2,407010.0,5996630.0,32652,138
112912,"['20230108', '20230513', '20230722', '20231119']",2,422010.0,5997630.0,32652,139
112911,"['20230108', '20230513', '20230722', '20231119']",2,407010.0,5997630.0,32652,140
112910,"['20230108', '20230513', '20230722', '20231119']",2,406010.0,5997630.0,32652,141
112909,"['20230108', '20230513', '20230722', '20231119']",2,410010.0,5999630.0,32652,142
112908,"['20230108', '20230513', '20230722', '20231119']",2,410010.0,6000630.0,32652,143
112907,"['20230108', '20230513', '20230722', '20231119']",2,435010.0,6001630.0,32652,144
112906,"['20230108', '20230513', '20230722', '20231119']",2,433010.0,6001630.0,32652,145
112905,"['20230108', '20230513', '20230722', '20231119']",2,425010.0,6001630.0,32652,146
112904,"['20230108', '20230513', '20230722', '20231119']",2,409010.0,6001630.0,32652,147
112903,"['20230108', '20230513', '20230722', '20231119']",2,434010.0,6002630.0,32652,148
112902,"['20230108', '20230513', '20230722', '20231119']",2,433010.0,6002630.0,32652,149
112901,"['20230108', '20230513', '20230722', '20231119']",2,432010.0,6002630.0,32652,150
112899,"['20230108', '20230513', '20230722', '20231119']",2,406010.0,6004630.0,32652,151
112897,"['20230108', '20230513', '20230722', '20231119']",2,440010.0,6005630.0,32652,152
112896,"['20230108', '20230513', '20230722', '20231119']",2,434010.0,6005630.0,32652,153
112895,"['20230108', '20230513', '20230722', '20231119']",2,418010.0,6005630.0,32652,154
112894,"['20230108', '20230513', '20230722', '20231119']",2,419010.0,6006630.0,32652,155
112893,"['20230108', '20230513', '20230722', '20231119']",2,419010.0,6007630.0,32652,156
112892,"['20230108', '20230513', '20230722', '20231119']",2,409010.0,6007630.0,32652,157
112889,"['20230108', '20230513', '20230722', '20231119']",11,467010.0,6009630.0,32652,158
112887,"['20230108', '20230513', '20230722', '20231119']",2,405010.0,6010630.0,32652,159
112885,"['20230108', '20230513', '20230722', '20231119']",11,467010.0,6012630.0,32652,160
112882,"['20230108', '20230513', '20230722', '20231119']",2,440010.0,6021630.0,32652,161
